Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
Kissan Pro,2021,Jharkhand,Agriculture,"Full stack solution on agri advisory, input purchase and market linkage",Ravi Dasoundhi,EKKI,3500000.0,Unknown
Sunstone Eduversity,2011,Gurugram,Education,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,"Ashish Munjal, Piyush Nangru",WestBridge Capital,28000000.0,Series B
Ozonetel,2007,Hyderabad,Technology,Ozonetel is leading Cloud Telephony solution provider.,"CSN Murthy, Atul Sharma",Stakeboat Capital,5000000.0,Series A
CoinSwitch Kuber,2017,Bangalore,Finance,"CoinSwitch Kuber is the largest crypto trading platform in India with a user base of 10M+, in just 15 months and growing every second.","Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Coinbase Ventures, Andreessen Horowitz",260000000.0,Series C
Pazcare,2020,Bangalore,Finance,Paz Care is India's leading Employee Benefits & Health insurance platform,"Sanchit Malik, Manish Mishra","BEENEXT, 3one4 Capital",3500000.0,Seed
kWh Bikes,2020,Bangalore,Manufacturing,Building India’s strongest and smartest electric 2 wheelers,"Siddharth Janghu, Kartik Gupta, Anupriya","Let’s Venture, Better Capital",2000000.0,Seed
IBSFINtech,2006,Bangalore,Technology,"Driving Digitization & Automation of Cash & Liquidity, Risk, Treasury & Trade Finance functions of the Corporate.","C M Grover, TM Manjunath",Inflection Point Ventures,1000000.0,Pre-Series
LeadSquared,2011,Bangalore,Technology,"LeadSquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",Nilesh Patel,International Finance Corporation,3500000.0,Unknown
Phool.co,2017,Kanpur,Energy,Flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,Ankit Agarwal,"Alia Bhatt, IAN Fund, Social Alpha, Draper Richards Kaplan Foundation",3500000.0,Unknown
Twin Health,2018,Chennai,Healthcare,Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,Jahangir Mohammed,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors",140000000.0,Series C
Trica,2021,Mumbai,Finance,Powering private markets - A technology platform for startups and investors.,Nimesh Kampani,LetsVenture,3000000.0,Seed
mHealth,2020,New Delhi,Healthcare,mHealth  is AI based corporate wellness platform  to spread happiness & well-being,"Rajesh Munjal, Balwinder Singh, Monika Garg",India Accelerator,3500000.0,Seed
Rebel Foods,2011,Mumbai,Food & Beverages,"World’s largest internet restaurant company. Building Unique, Memorable, Delightful & Sure delivery-only restaurants.","Jaydeep Barman, Kallol Banerjee.",Qatar Investment Authority,175000000.0,Later Stage
