Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
SleepyCat,2017,Mumbai,Retail,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,Kabir Siddiq,"Saama Capital, DSG Consumer Partners, Sharrp Ventures",3800000.0,Unknown
Ultrahuman,2020,Bangalore,Healthcare,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,"Mohit Kumar, Vatsal Singhal",Tiger Global’s Scott Schleifer,17500000.0,Unknown
UpScalio,2021,Gurugram,E-commerce,"UpScalio is India’s next generation, data-driven consumer goods company.",Gautam Kshatriya,Inflection Point Ventures,42000000.0,Unknown
Yellow Class,2020,Gurugram,Education,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on","Anshul Gupta, Arpit Mittal",Elevation Capital,6000000.0,Unknown
Yojak,2019,Gurugram,Services,India’s first B2B online marketplace for building material.,Anuj Jain,Info Edge Ventures,3800000.0,Unknown
CreatorStack,2019,Bangalore,Technology,Helping creators globally to engage deeply with their fans and communities,"Ankit Acharya, Kevin William David",Accel,2000000.0,Unknown
Expertrons,2019,Mumbai,Education,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Jatin Solank, Vivek Gupta","Venture Catalysts, Auxano Capital, Venture Garage, Yoga Capital, Ah!Ventures, Lead Angels",2300000.0,Unknown
Rage Coffee,2018,New Delhi,Food & Beverages,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Bharat Sethi,Sixth Sense Ventures,5000000.0,Unknown
Klub,2019,Bangalore,Finance,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,"Anurakt Jain, Ishita Verma","9Unicorns, Sequoia Capital India’s Surge",20000000.0,Unknown
Navia Life Care,2016,New Delhi,Healthcare,Navia Life Care is a health technlogy company with a special focus on patient care.,"Nupur Khandelwal, Kunal Kishore Dhawan, Gaurav Gupta","Anicut Angel Fund, 9 Unicorns",1000000.0,Unknown
1K Kirana Bazaar,2018,Gurugram,Retail,India's First and Largest Network of Small-Town Kirana Stores,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh","Info Edge, FalconEdge",7000000.0,Unknown
Zupee,2018,Gurugram,Media & Entertainment,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","Dilsher Singh, Siddhant Saurabh","WestCap Group, Tomales Bay Capital",30000000.0,Unknown
Locale.ai,2019,Bangalore,Technology,Location Analytics for Companies With Moving Assets and Ground Operations.,"Rishabh Jain, Aditi Sinha","Chiratae Ventures, Better Capital",1000000.0,Unknown
VerSe Innovation,2018,Bangalore,Media & Entertainment,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",Umang Bedi,"Siguler Guff, Baillie Gifford",450000000.0,Unknown
MetroRide,2020,Bangalore,Transportation & Logistics,"Urban Mobility Affordable, Punctual & Sustainable.","Girish Nagpal, Kaaman Agarwal",Inflection Point Ventures,3500000.0,Unknown
Miko,2015,Mumbai,Retail,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Sneh R Vaswani, Prashant V Iyengar, Chintan S Raikar","IIFL AMC, Mankind Pharma Family Office, Aroa Ventures",28000000.0,Unknown
Whiz League,2020,New Delhi,Education,Revolutionizing learning experience that goes beyond academia,"Natasha Jain, Sonia Agarwal Bajaj",ITI Growth Opportunities,300000.0,Unknown
Hash,2020,New Delhi,Retail,Hash is a new startup in consumer goods.,Shwetank Jain,Amrac Investment Trust,3500000.0,Unknown
Unacademy,2015,Bangalore,Education,Unacademy aims to build the world's largest online knowledge repository for multi-lingual education.,"Gaurav Munjal, Hemesh Singh, Roman Saini",Bhavin Turakhia,3500000.0,Unknown
Log 9 Materials,2014,Bangalore,Technology,Log9 Materials is on a mission to make global energy 100% clean.,"Akshay Singhal, Kartik Hajela",Amara Raja Batteries,8500000.0,Series A
upGrad,2015,Mumbai,Education,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.","Phalgun Kompalli, Ronnie Screwvala, Mayank Kumar",India Infoline Finance,25000000.0,Unknown
FlashPrep,2020,Bangalore,Education,FlashPrep is the smart way to master learning.,"Dhiresh Nagwani, Ashwini Dhekane",Venture Highway,500000.0,Pre-Seed
Kenko Health,2019,Mumbai,Finance,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience","Aniruddha Sen, Dhiraj Goel","BEENEXT, Orios",1700000.0,Pre-Series
Wiz Freight,2020,Chennai,Transportation & Logistics,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.","Ramkumar Govindarajan, Ramkumar Ramachandran",Axilor,3500000.0,Seed
Credgenics,2018,New Delhi,Finance,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,"Rishabh Goel, Mayank Khera, Anand Agrawal","Westbridge Capital, Tanglin Venture Partners",25000000.0,Series A
BlueLearn,2020,Goa,Education,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!","Harish Uthayakumar, Shreyans Sancheti","100X.VC﻿,﻿ Titan Capital, Rahul Mathur, Gaurav Mandlecha",400000.0,Pre-Seed
NimbleBox.ai,2018,Chennai,Technology,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,"Anshuman Pandey, Rohan Pooniwala",Venture Catalysts,1000000.0,Seed
Pickrr,2015,Gurugram,Transportation & Logistics,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,"Rhitiman Majumdar, Gaurav Mangla, Ankit Kaushik","IIFL, Amicus Capital, Ananta Capital",12000000.0,Series B
Stellaris Venture Partners,2015,Bangalore,Finance,Early-stage tech VC in India.,"Ritesh Banglani, Alok Goyal, Rahul Chowdhri",Inflection Point Ventures,225000000.0,Unknown
Grip Invest,2020,Gurugram,Finance,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Nikhil Aggarwal, Vivek Gulati","Venture Highway, Endiya Partners",3000000.0,Series A
Heads Up For Tails,2008,New Delhi,Healthcare,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",Rashi Sanon,"Verlinvest, Sequoia Capital India",37000000.0,Series A
Blue Tokai Coffee Roasters,2012,New Delhi,Food & Beverages,"Source, roast, and brew India's best single-origin Arabica coffee.","Matt Chitharanjan, Shivam Shahi, Namrata Asthana",Anicut Angel Fund,2000000.0,Series A
Neeman,2017,Hyderabad,Retail,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Taran Chhabra,Sixth Sense Ventures,2000000.0,Series A
BharatPe,2018,New Delhi,Finance,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.","Ashneer Grover, Shashvat Nakrani",Tiger Global,370000000.0,Later Stage
GoSats,2020,Bangalore,Finance,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,"Mohammed Roshan, Roshni Aslam","Alphabit Fund, Fulgur Ventures, Stacks Accelerator, SBX Capital",700000.0,Seed
StockGro,2020,Bangalore,Finance,Making Investment Social- India's First Social Trading Platform,Ajay Lakhotia,"Roots Ventures, Velo Partners",5000000.0,Pre-Series
Onsurity,2020,Bangalore,Healthcare,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!","Yogesh Agarwal, Kulin Shah",Nexus Venture Partners,16000000.0,Series A
Khabri,2017,Gurugram,Media & Entertainment,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,"Pulkit Sharma, Aankit Roy, Sandeep Singh",Inflection Point Ventures,2000000.0,Pre-Series
Celcius,2020,Mumbai,Transportation & Logistics,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,Swarup Bose,"Mumbai Angels Network, Huddle, Lumis Partners",500000.0,Unknown
AyuRythm,2017,Bangalore,Healthcare,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,Abhilesh Gupta,SucSEED Indovation Fund,3500000.0,Seed
Enguru,2014,Bangalore,Education,Enguru provides a personalized & gamified English learning solution to prepare young adults for the workplace.,"Arshan Vakil, Tahem Veer Verma, Udit Hinduja","Potencia Ventures, Bisk Ventures, LetsVenture, Ronnie Screwvala, Arihant Patni",3500000.0,Pre-Series
Rocket Skills,2020,Gurugram,Education,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,"Vibhu Bahuguna, Mohit Jain","Better Capital, First Cheque, Titan Capital",200000.0,Pre-Seed
RenewBuy,2015,Gurugram,Finance,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",Balachander Sekhar,Evolvence Capital,10000000.0,Series C
Faarms,2020,Bangalore,Agriculture,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,"Taranbir Singh, Alok Duggal",Inflection Point Ventures,2000000.0,Seed
UrbanMatrix Technologies,2019,Chennai,Technology,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARA ELGI,100000.0,Unknown
Jupiter,2019,Mumbai,Finance,"A digital banking experience that keeps pace with you, and helps master money too.",Jitendra Gupta,"Nubank, Global Founders Capital, Sequoia Capital India, Matrix Partners India",44000000.0,Series B
Pixuate,2012,Bangalore,Technology,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.","Akshata Kari, Prathvi Palekar",SucSEED Indovation Fund,1000000.0,Seed
Playo,2014,Bangalore,Sports,Playo is a one stop destination app for all things sports,Daanish Suhail,ah! Ventures High Tables,500000.0,Pre-Series
Toothsi,2018,Mumbai,Healthcare,India’s first and largest at home smile makeover service using invisible aligners.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale","Eight Roads Ventures, Think Investments, Mankekar Family Office",20000000.0,Series B
Soothe Healthcare,2012,New Delhi,Retail,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",Sahil Dharia,A91 Partners,10000000.0,Series C
Goodmeetings,2020,Bangalore,Technology,AI-Based Platform Built Exclusively for Remote Selling,Srinivasan Narayan,Chiratae Ventures,1700000.0,Series A
Apnaklub,2020,Bangalore,Retail,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,"Shruti, Manish Kumar",Sequoia’s Surge,3500000.0,Seed
ChefKart,2020,Gurugram,Retail,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Vaibhav Gupta, Arpit Gupta, Aman Gupta","Lead Angels, Titan Capital, Pravega Ventures",300000.0,Pre-Seed
Fashinza,2020,Gurugram,Lifestyle,A new-age supply chain and product development platform for the fashion industry.,"Pawan Gupta, Abhishek Sharma","Accel Partners, Elevation Capital",20000000.0,Series A
Fabheads,2015,Chennai,Technology,Fabheads is a hardware startup creating automation equipment to manufacture high-end carbon fiber parts.,Dhinesh Kanagaraj,"Inflection Point Ventures, Rockstud Capital, FirstPort Capital, Bliss Flow Investments Pvt Ltd",3500000.0,Pre-Series
QuickShift,2016,Pune,Transportation & Logistics,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",Anshul Goenka,"Anicut Angel Fund, Axilor Ventures",770000.0,Seed
StackBOX,2016,Bangalore,Transportation & Logistics,DISTRIBUTION SIMPLIFIED,"Shanmukha Boora, Sabyasachi Bhattacharjee","Ecosystem Ventures, CMM group",1200000.0,Unknown
MedPrime Technologies,2014,Thane,Healthcare,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.","Samrat, Greeshma Unnikrishnan, Binil Jacob, Mahesh Kumar Rathor","Mumbai Angels Network, Social Alpha",3500000.0,Seed
infra.market,2016,Thane,Real Estate,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,"Souvik Sengupta, Aaditya Sharda",Tiger Global,125000000.0,Later Stage
CollegeDekho,2015,Gurgaon,Education,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",Ruchir Arora,"Disrupt ADQ, QIC",35000000.0,Series B
BOX8,2012,Mumbai,Food & Beverages,India's Largest Desi Meals Brand,"Anshul Gupta, Amit Raj",Tiger Global,40000000.0,Unknown
Simpl,2015,Bangalore,Services,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards","Nitya, Chaitra Chidanand","Valar Ventures, IA Ventures",40000000.0,Series B
8i Ventures,2018,Mumbai,Finance,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,Vikram Chachra,Inflection Point Ventures,50000000.0,Unknown
PayGlocal,2021,Bangalore,Finance,PayGlocal is a FinTech solving for global payments acceptance,"Prachi Dharani, Rohit Sukhija, Yogesh Lokhande",Sequoia Capital India,4900000.0,Series A
Curefit,2016,Bangalore,Healthcare,Tata Digital-backed Curefit,"Mukesh Bansal, Ankit",Zomato,145000000.0,Unknown
Pocket FM,2018,Bangalore,Media & Entertainment,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.","Rohan, Nishanth Srinivas, Prateek Dixit","Lightspeed, Times Group, Tanglin Venture Partners",22000000.0,Series B
CHARGE+ZONE,2018,Vadodara,Manufacturing,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,Kartikey Hariyani,Venture Catalysts,10000000.0,Unknown
PlanetSpark,2017,Gurugram,Education,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,"Maneesh Dhooper, Kunal Malik","Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",13000000.0,Series B
LenDenClub,2015,Mumbai,Finance,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,"Bhavin Patel, Dipesh Karki","Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",10000000.0,Series A
